label	parent	mass (kg)	epoch	sma (m)	ecc	inc(°)	lan(°)	aop(°)	ma(°)
s2019_s_24	saturn	0.034e15	0	11360500e3	0.345	46.7	205.3	74.7	79.3
s2019_s_25	saturn	0.034e15	0	11329400e3	0.271	48.1	213.7	73.9	358.9
s2019_s_26	saturn	0.014e15	0	11390900e3	0.365	48.1	119.7	111.3	164.1
s2019_s_27	saturn	0.014e15	0	16267000e3	0.420	162.1	115.1	97.2	152.1
s2019_s_28	saturn	0.034e15	0	17496000e3	0.199	158.4	268.3	95.6	307.9
s2019_s_29	saturn	0.014e15	0	17353900e3	0.441	37.7	306.9	332.7	133.8
s2019_s_30	saturn	0.014e15	0	17709900e3	0.107	168.3	356.8	5.3	187.8
s2019_s_31	saturn	0.014e15	0	17739100e3	0.488	39.8	173.7	37.8	35.2
s2019_s_32	saturn	0.014e15	0	17960500e3	0.276	46.2	218.1	281.4	20.1
s2019_s_33	saturn	0.034e15	0	18696100e3	0.289	170.4	186.4	46.9	245.6
s2019_s_34	saturn	0.014e15	0	18446800e3	0.536	37.6	169.4	226.7	78.5
s2019_s_35	saturn	0.014e15	0	18557800e3	0.577	157.3	63.3	181.1	259.0
s2019_s_36	saturn	0.014e15	0	19903200e3	0.161	166.9	353.4	278.1	145.8
s2019_s_37	saturn	0.014e15	0	19996900e3	0.404	149.9	273.4	355.3	135.8
s2019_s_38	saturn	0.014e15	0	21998400e3	0.399	163.0	216.6	303.7	138.3
s2019_s_39	saturn	0.014e15	0	23784500e3	0.098	174.5	273.1	327.0	92.5
s2019_s_40	saturn	0.014e15	0	24087800e3	0.088	161.8	44.4	242.4	347.6
s2019_s_41	saturn	0.014e15	0	24493600e3	0.257	157.1	11.4	40.0	320.7
s2019_s_42	saturn	0.034e15	0	24111600e3	0.121	163.2	318.2	84.5	351.4
s2019_s_43	saturn	0.014e15	0	26664100e3	0.277	165.3	116.0	108.2	306.2
s2019_s_44	saturn	0.014e15	0	26796900e3	0.512	172.6	223.0	332.7	330.6
s2020_s_1	saturn	0.034e15	0	11338600e3	0.337	48.2	161.7	73.2	2.1
s2020_s_2	saturn	0.014e15	0	17869000e3	0.152	170.7	96.2	130.7	19.2
s2020_s_4	saturn	0.014e15	0	18236400e3	0.496	40.1	67.8	157.7	178.7
s2020_s_5	saturn	0.014e15	0	18391000e3	0.220	48.2	214.9	285.7	232.0
s2020_s_3	saturn	0.014e15	0	18056800e3	0.142	46.0	216.8	317.6	135.8
s2020_s_6	saturn	0.014e15	0	21253300e3	0.480	166.9	7.0	27.9	271.2
s2020_s_7	saturn	0.014e15	0	17394000e3	0.500	161.4	175.7	298.8	215.8
s2020_s_8	saturn	0.014e15	0	21967200e3	0.252	161.8	41.8	45.0	181.2
s2020_s_9	saturn	0.034e15	0	25408700e3	0.531	161.4	15.0	171.0	46.4
s2020_s_10	saturn	0.014e15	0	25315300e3	0.296	165.6	243.6	213.5	158.8
s2020_s_11	saturn	0.014e15	0	11295600e3	0.372	48.2	94.2	110.4	95.9
