Pittsburghia		10.63 h (0.443 d)					
Genua		17.59 h (0.733 d)					
Cremona		65.15 h (2.715 d)					
Venetia		10.62±0.02 h[9]12.73 h[10]13.28 h[11]13.33170 h[12]13.34±0.01 h[4][13]13.34153 h[14]13.342±0.002 h[15]18 h (dated)[16]					
Kreusa		32.666 h (1.3611 d)[1]					
Comacina		9.02 h (0.376 d)					
Veritas		7.930 h (0.3304 d)					
Carina		15.153 h (0.6314 d)					
Gismonda		6.488 h (0.2703 d)					
Griseldis		51.940 h (2.1642 d)[1]					
Virtus		5.57 h (0.232 d)					
Eulalia		28.967 h (1.2070 d)					
Gryphia		18.0 h (0.75 d)					
Iva		4.620 h (0.1925 d)					
Tokio		41.85 h (1.744 d)					
Venusia		13.48 h (0.562 d)					
Selinur		8.0111 h (0.33380 d)					
Urhixidur		13.1743 h (0.54893 d)					
Sigune		10.922 h (0.4551 d)					
Evelyn		38.728 h (1.6137 d)					
